Economy,Year,Economy Code,"Population, female"
Greece,2021,GRC,5428390
Grenada,2021,GRD,62254
Greenland,2021,GRL,26844
Guatemala,2021,GTM,8639673
Guam,2021,GUM,84655
Guyana,2021,GUY,410932
"Hong Kong SAR, China",2021,HKG,3994078
Honduras,2021,HND,5087643
Croatia,2021,HRV,2000607
Haiti,2021,HTI,5774718
Hungary,2021,HUN,5055557
Indonesia,2021,IDN,135900714
Isle of Man,2021,IMN,42528
India,2021,IND,681060412
Ireland,2021,IRL,2539135
"Iran, Islamic Rep.",2021,IRN,43496643
Iraq,2021,IRQ,21736184
Iceland,2021,ISL,181577
Israel,2021,ISR,4695549
Italy,2021,ITA,30300094
Jamaica,2021,JAM,1424743
Jordan,2021,JOR,5368123
Japan,2021,JPN,64594414
Kazakhstan,2021,KAZ,9864589
Kenya,2021,KEN,26726429
Kyrgyz Republic,2021,KGZ,3405781
Cambodia,2021,KHM,8376956
Kiribati,2021,KIR,66150
St. Kitts and Nevis,2021,KNA,24591
"Korea, Rep.",2021,KOR,25902500
Kuwait,2021,KWT,1659419
Lao PDR,2021,LAO,3682483
Lebanon,2021,LBN,2879140
Liberia,2021,LBR,2608243
Libya,2021,LBY,3325769
St. Lucia,2021,LCA,90712
Liechtenstein,2021,LIE,19686
Sri Lanka,2021,LKA,11481595
Lesotho,2021,LSO,1155756
Lithuania,2021,LTU,1486443
Luxembourg,2021,LUX,317924
Latvia,2021,LVA,1011596
"Macao SAR, China",2021,MAC,364321
St. Martin (French part),2021,MAF,16759
Morocco,2021,MAR,18410922
Monaco,2021,MCO,18704
Moldova,2021,MDA,1373816
Madagascar,2021,MDG,14424717
Maldives,2021,MDV,220721
Mexico,2021,MEX,64849001
Marshall Islands,2021,MHL,20567
North Macedonia,2021,MKD,1035460
Mali,2021,MLI,10844239
Malta,2021,MLT,248831
Myanmar,2021,MMR,27015414
Montenegro,2021,MNE,317538
Mongolia,2021,MNG,1686321
Northern Mariana Islands,2021,MNP,22884
Mozambique,2021,MOZ,16339849
Mauritania,2021,MRT,2354385
Mauritius,2021,MUS,641326
Malawi,2021,MWI,10218942
Malaysia,2021,MYS,16407343
Namibia,2021,NAM,1308985
New Caledonia,2021,NCL,136116
Niger,2021,NER,12443587
Nigeria,2021,NGA,105574310
Nicaragua,2021,NIC,3474910
Netherlands,2021,NLD,8820968
Norway,2021,NOR,2680087
Nepal,2021,NPL,15664025
Nauru,2021,NRU,6151
New Zealand,2021,NZL,2583772
Oman,2021,OMN,1758703
Pakistan,2021,PAK,114586264
Panama,2021,PAN,2174744
Peru,2021,PER,17020361
Philippines,2021,PHL,56062865
Palau,2021,PLW,8643
Papua New Guinea,2021,PNG,4811553
Poland,2021,POL,19493868
Puerto Rico,2021,PRI,1722030
"Korea, Dem. People's Rep.",2021,PRK,13127524
Portugal,2021,PRT,5453881
Paraguay,2021,PRY,3338534
West Bank and Gaza,2021,PSE,2467389
French Polynesia,2021,PYF,150255
Qatar,2021,QAT,734561
Romania,2021,ROU,9875794
Russian Federation,2021,RUS,76824577
Rwanda,2021,RWA,6879649
Saudi Arabia,2021,SAU,15184150
Sudan,2021,SDN,22842482
Senegal,2021,SEN,8579664
Singapore,2021,SGP,2601057
Solomon Islands,2021,SLB,346168
Sierra Leone,2021,SLE,4201801
El Salvador,2021,SLV,3307476
San Marino,2021,SMR,17326
Somalia,2021,SOM,8509953
Serbia,2021,SRB,3558849
South Sudan,2021,SSD,5427688
Sao Tome and Principe,2021,STP,111802
Suriname,2021,SUR,307598
Slovak Republic,2021,SVK,2787545
Slovenia,2021,SVN,1048601
Sweden,2021,SWE,5169131
Eswatini,2021,SWZ,600441
Sint Maarten (Dutch part),2021,SXM,19914
Seychelles,2021,SYC,46958
Syrian Arab Republic,2021,SYR,10643230
Turks and Caicos Islands,2021,TCA,22385
Chad,2021,TCD,8556210
Togo,2021,TGO,4299551
Thailand,2021,THA,36807094
Tajikistan,2021,TJK,4843921
Turkmenistan,2021,TKM,3200126
Timor-Leste,2021,TLS,647343
Tonga,2021,TON,53578
Trinidad and Tobago,2021,TTO,772874
Tunisia,2021,TUN,6205901
Turkiye,2021,TUR,42285574
Tuvalu,2021,TUV,5449
Tanzania,2021,TZA,32170681
Uganda,2021,UGA,23153140
Ukraine,2021,UKR,23524526
Uruguay,2021,URY,1766768
United States,2021,USA,167480460
Uzbekistan,2021,UZB,17446107
St. Vincent and the Grenadines,2021,VCT,51123
"Venezuela, RB",2021,VEN,14243056
British Virgin Islands,2021,VGB,16146
Virgin Islands (U.S.),2021,VIR,56360
Vietnam,2021,VNM,49331842
Vanuatu,2021,VUT,158631
Samoa,2021,WSM,107213
Kosovo,2021,XKX,895801
"Yemen, Rep.",2021,YEM,16313210
South Africa,2021,ZAF,30497646
Zambia,2021,ZMB,9864121
Zimbabwe,2021,ZWE,8449834
